qc_id,objectid,registro_n,caverna,grau_de_re,uf,municipio,localidade,latitude,longitude,altitude,gps,errogps,qtd__satel,litotipo,desenvolvi,projeção,desnivel_f,icon_url
"2061","2062",017564.06779.31.44805,PBR-09, ,MG,Nova Lima,Serra da Moeda,-20.156406,-43.972737,"1504",Garmin 62 csx,"4","4", , , , ,
"2062","2063",017565.06780.31.44805,PBR-10-11, ,MG,Nova Lima,Serra da Moeda,-20.155633,-43.973421,"1504",Garmin 62 csx,"4","4", , , , ,
"2063","2064",017566.06781.31.44805,PBR-12, ,MG,Nova Lima,Serra da Moeda,-20.155878,-43.973611,"1507",Garmin 62 csx,"4","4", , , , ,
"2064","2065",017567.06782.31.44805,PBR-13, ,MG,Nova Lima,Serra da Moeda,-20.155906,-43.973697,"1504",Garmin 62 csx,"4","4", , , , ,
"2065","2066",017568.06783.31.44805,PBR-14, ,MG,Nova Lima,Serra da Moeda,-20.155959,-43.97362,"1511",Garmin 62 csx,"4","4", , , , ,
"2066","2067",017569.06784.31.44805,PBR-15, ,MG,Nova Lima,Serra da Moeda,-20.141257,-43.96876,"1410",Garmin 62 csx,"4","4", , , , ,
"2067","2068",017570.06785.31.44805,PBR-16, ,MG,Nova Lima,Serra da Moeda,-20.156079,-43.973925,"1522",Garmin 62 csx,"4","4", , , , ,
"2068","2069",017571.06786.31.44805,PBR-17, ,MG,Nova Lima,Serra da Moeda,-20.15815,-43.972706,"1531",Garmin 62 csx,"4","4", , , , ,
"2069","2070",017572.06787.31.44805,PBR-19, ,MG,Nova Lima,Serra da Moeda,-20.164837,-43.974413,"1521",Garmin 62 csx,"4","4", , , , ,
"2070","2071",017573.06788.31.44805,PBR-20, ,MG,Nova Lima,Serra da Moeda,-20.164801,-43.974394,"1536",Garmin 62 csx,"4","4", , , , ,
"2071","2072",017574.06468.31.09006,PBR-21, ,MG,Brumadinho,Serra da Moeda,-20.164092,-43.976877,"1534",Garmin 62 csx,"4","4", , , , ,
"2072","2073",017575.06789.31.44805,PBR-22, ,MG,Nova Lima,Serra da Moeda,-20.152453,-43.97348,"1487",Garmin 62 csx,"4","4", , , , ,
"2073","2074",017576.06790.31.44805,PBR-23, ,MG,Nova Lima,Serra da Moeda,-20.152489,-43.971997,"1430",Garmin 62 csx,"4","4", , , , ,
"2074","2075",017577.06469.31.09006,PBR-25, ,MG,Brumadinho,Serra da Moeda,-20.16394,-43.977194,"1517",Garmin 62 csx,"4","4", , , , ,
"2075","2076",017578.06470.31.09006,PBR-27, ,MG,Brumadinho,Serra da Moeda,-20.147119,-43.991712,"1337",Garmin 62 csx,"4","4", , , , ,
"2076","2077",017579.06471.31.09006,PBR-28, ,MG,Brumadinho,Serra da Moeda,-20.147229,-43.992018,"1264",Garmin 62 csx,"4","4", , , , ,
"2077","2078",017580.06472.31.09006,PBR-29, ,MG,Brumadinho,Serra da Moeda,-20.147576,-43.991078,"1349",Garmin 62 csx,"4","4", , , , ,
"2078","2079",017581.06473.31.09006,PBR-30, ,MG,Brumadinho,Serra da Moeda,-20.148474,-43.991675,"1297",Garmin 62 csx,"4","4", , , , ,
"2079","2080",017582.06474.31.09006,PBR-31, ,MG,Brumadinho,Serra da Moeda,-20.153315,-43.991261,"1313",Garmin 62 csx,"4","4", , , , ,
"2080","2081",017583.06475.31.09006,PBR-32, ,MG,Brumadinho,Serra da Moeda,-20.158694,-43.990337,"1221",Garmin 62 csx,"4","4", , , , ,
"2081","2082",017584.06476.31.09006,PBR-33, ,MG,Brumadinho,Serra da Moeda,-20.158475,-43.991458,"1156",Garmin 62 csx,"4","4", , , , ,
"2082","2083",017585.06477.31.09006,PBR-34, ,MG,Brumadinho,Serra da Moeda,-20.155193,-43.992598,"1164",Garmin 62 csx,"4","4", , , , ,
"2083","2084",017586.06478.31.09006,PBR-35, ,MG,Brumadinho,Serra da Moeda,-20.148537,-43.991665,"1283",Garmin 62 csx,"4","4", , , , ,
"2084","2085",017587.06479.31.09006,PBR-37, ,MG,Brumadinho,Serra da Moeda,-20.165894,-43.98698,"1289",Garmin 62 csx,"4","4", , , , ,
"2085","2086",017588.06480.31.09006,PBR-38, ,MG,Brumadinho,Serra da Moeda,-20.165523,-43.988389,"1266",Garmin 62 csx,"4","4", , , , ,
"2086","2087",017589.06481.31.09006,PBR-39, ,MG,Brumadinho,Serra da Moeda,-20.148491,-43.991445,"1304",Garmin 62 csx,"4","4", , , , ,
"2087","2088",017590.06482.31.09006,PBR-40, ,MG,Brumadinho,Serra da Moeda,-20.148528,-43.991579,"1301",Garmin 62 csx,"4","4", , , , ,
"2088","2089",017591.06791.31.44805,PBR-41, ,MG,Nova Lima,Serra da Moeda,-20.151026,-43.964381,"1315",Garmin 62 csx,"4","4", , , , ,
"2089","2090",017592.06792.31.44805,RT-01-02, ,MG,Nova Lima,Serra da Moeda,-20.147005,-43.9659,"1334",Garmin 62 csx,"4","4", , , , ,
"2090","2091",017593.06483.31.09006,PBR-26, ,MG,Brumadinho,Serra da Moeda,-20.147361,-43.991386,"1306",Garmin 62 csx,"4","4", , , , ,
"2091","2092",017594.06484.31.09006,PBR-36, ,MG,Brumadinho,Serra da Moeda,-20.165646,-43.987728,"1275",Garmin 62 csx,"4","4", , , , ,
"2092","2093",017595.00755.29.32457,PEA-0687, ,BA,Umburanas,Serra da Baixinha,-10.641457,-41.499966,"1037",Garmin GPSMap 64s,"3","12", , , , ,
"2093","2094",017597.00785.29.06006,Toca da Aguada do Queixo Dantas, ,BA,Campo Formoso,Pov. Queixo d Anta,-10.031891,-40.927906,"724",TRIMBLE JUNO SB,"5","7", , , , ,
"2094","2095",017600.00786.29.06006,Toca do Talhado da Guariba, ,BA,Campo Formoso,Sem informação,-10.013305,-40.927942,"947",TRIMBLE JUNO SB,"5","7", , , , ,
"2095","2096",017601.00787.29.06006,Toca da Aguada do Queixo Dantas II, ,BA,Campo Formoso,Pov. Aguada do Queixo d Anta,-10.030149,-40.92739,"750",TRIMBLE JUNO SB,"5","7", , , , ,
"2096","2097",017602.00788.29.06006,Toca do Morcego, ,BA,Campo Formoso,Sem informação,-10.018804,-40.905521,"712",TRIMBLE JUNO SB,"5","7", , , , ,
"2097","2098",017603.00789.29.06006,Toca do Queixo Dantas, ,BA,Campo Formoso,Pov. Queixo d Anta,-10.028869,-40.928326,"760",TRIMBLE JUNO SB,"5","7", , , , ,
"2098","2099",017604.07654.31.67202,Gruta A009, ,MG,Sete Lagoas,Embrapa Milho e Sorgo,-19.443154,-44.17339,"726",Garmin 76CSX,"2","8", , , , ,
"2099","2100",017605.07655.31.67202,Gruta Capão Pequeno, ,MG,Sete Lagoas,Embrapa Milho e Sorgo,-19.442892,-44.173392,"703",Garmin 76CSX,"2","4", , , , ,
"2100","2101",017606.07656.31.67202,Lapa do Capão Grande-1, ,MG,Sete Lagoas,Embrapa Milho e Sorgo,-19.441845,-44.173048,"640",Garmin 76CSX,"2","4", , , , ,
"2101","2102",017645.00748.29.23357,Caverna Pé de Juazeiro, ,BA,Ourolândia,SEDE,-10.951856,-41.058135,"558",ETREX VISTA HCX,"7","12", , , , ,
"2102","2103",017665.00663.29.23506,Buraco Encantado, ,BA,Palmeiras,Sem informação,-12.490743,-41.583579,"1",Garmin,"5","8", , , , ,
"2103","2104",017682.00990.29.17508,Toca das Onças, ,BA,Jacobina,Caatinga do Moura / Fazenda Bico de Pedra,-10.927671,-40.824506,"604",Garmin eTREX,"3","6", ,"23","99", ,
"2104","2105",017700.00050.23.07106,Caverna do Valverde, ,CE,Jardim,Sítio Gravatá (APA Chapada do Araripe),-7.553247,-39.310132,"794",Garmin,"8","4", , , , ,
"2105","2106",017701.00046.23.01901,Caverna do Urubu, ,CE,Barbalha,Sítio Crioulos (APA Chapada do Araripe),-7.356806,-39.26225,"466",Garmin,"9","5", , , , ,
"2106","2107",017702.00033.23.12106,Caverna do Bonito, ,CE,Santana do Cariri,Sítio Bonito (APA Chapada do Araripe),-7.1544,-39.825815,"714",Garmin,"8","5", , , , ,
"2107","2108",017703.00034.23.12106,Dolina do Buraco da Moça, ,CE,Santana do Cariri,Sítio Palmeiras (APA Chapada do Araripe),-7.206298,-39.676426,"787",Garmin,"10","4", , , , ,
"2108","2109",017704.00042.23.09201,Caverna do Desabamento, ,CE,Nova Olinda,Sítio Olho D'Água APA Chapada do Araripe 19.7 km do Trevo BR 292 na Estrada Crato-Nova Olinda,-7.146025,-39.633047,"796",Garmin,"8","7", , , , ,
"2109","2110",017705.00001.23.07502,Caverna do Boqueirão de Lavras da Mangabeira, ,CE,Lavras da Mangabeira,Boqueirão,-6.712402,-38.957674,"292",Garmin,"9","4", , , , ,
"2110","2111",017706.00002.23.07502,Caverna do Boqueirão de Lavras da Mangabeira II, ,CE,Lavras da Mangabeira,Boqueirão,-6.712718,-38.957791,"268",Garmin,"8","6", , , , ,
"2111","2112",017728.00898.29.23803,Abismo da Aroeira, ,BA,Paripiranga,Corredor Vermelho,-10.623083,-37.866,"1",Garmin,"8","7", , , , ,
"2112","2113",017729.00899.29.23803,Abismo da Fenda da Costura, ,BA,Paripiranga,Corredor Vermelho,-10.636141,-37.875223,"1",Garmin,"8","8", , , , ,
"2113","2114",017730.00900.29.23803,Abismo da Pia, ,BA,Paripiranga,Corredor Vermelho,-10.648369,-37.863555,"1",Garmin,"6","11", , , , ,
"2114","2115",017731.00901.29.23803,Toca do Escondidinho, ,BA,Paripiranga,Corredor Vermelho,-10.637044,-37.877832,"1",Garmin,"4","7", , , , ,
"2115","2116",017732.00902.29.23803,Caverna da Presa II, ,BA,Paripiranga,Corredor Vermelho,-10.635378,-37.878651,"1",Garmin,"10","8", , , , ,
"2116","2117",017733.00903.29.23803,Caverna do Lola, ,BA,Paripiranga,Corredor Vermelho,-10.642849,-37.873849,"1",Garmin,"10","8", , , , ,
"2117","2118",017750.07657.31.67202,Lapa do Capão Grande-6, ,MG,Sete Lagoas,Embrapa Milho e Sorgo,-19.442198,-44.173236,"692",Garmin 76CSX,"3","8", , , , ,
"2118","2119",017751.07658.31.67202,Abrigo de Uma Trenada, ,MG,Sete Lagoas,Embrapa Milho e Sorgo,-19.43462,-44.178705,"706",Garmin 76CSX,"2","4", , , , ,
"2119","2120",017752.05279.31.14600,Toca de Carrancas (Toca da Palestina), ,MG,Carrancas,Pousada da Toca,-21.473834,-44.667538,"1",Garmim,"5","11", , , , ,
"2120","2121",017756.00005.31.15359,Gruta de Santa Clara, ,MG,Catas Altas,RPPN Santuário do Caraça,-20.094037,-43.476914,"1431",Garmim,"6","7", , , , ,
"2121","2122",017757.00006.31.15359,Gruta de São Francisco, ,MG,Catas Altas,RPPN Santuário do Caraça,-20.093999,-43.477803,"1456",Garmim,"6","7", , , , ,
"2122","2123",017758.00007.31.15359,Gruta de São José, ,MG,Catas Altas,RPPN Santuário do Caraça,-20.094028,-43.47769,"1455",Garmim,"4","8", , , , ,
"2123","2124",017759.00008.31.15359,Gruta de São Paulo, ,MG,Catas Altas,RPPN Santuário do Caraça,-20.094088,-43.477137,"1432",Garmim,"5","8", , , , ,
"2124","2125",017760.00009.31.15359,Gruta de Lourdes (Gruta do Padre Caio), ,MG,Catas Altas,RPPN Santuário do Caraça,-20.093794,-43.47674,"1441",Garmim,"6","8", , , , ,
"2125","2126",017761.00010.31.15359,Gruta de São Pedro, ,MG,Catas Altas,RPPN Santuário do Caraça,-20.094243,-43.477359,"1435",Garmim,"4","7", , , , ,
"2126","2127",017764.07007.31.10004,Caverna Apolo-75, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.029132,-43.682851,"1471",Garmim,"5","9", , , , ,
"2127","2128",017765.07008.31.10004,Caverna Apolo-76, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.029081,-43.683111,"1472",Garmim,"4","8", , , , ,
"2128","2129",017766.07009.31.10004,Caverna Apolo-77, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.030033,-43.684022,"1464",Garmim,"3","11", , , , ,
"2129","2130",017767.07010.31.10004,Caverna Apolo-78, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.029101,-43.683547,"1480",Garmim,"4","10", , , , ,
"2130","2131",017768.07011.31.10004,Caverna Apolo-79, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.029196,-43.683015,"1481",Garmim,"2","12", , , , ,
"2131","2132",017769.07012.31.10004,Caverna Apolo-80, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.028716,-43.682069,"1473",Garmim,"3","9", , , , ,
"2132","2133",017770.07013.31.10004,Caverna Apolo-81, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.028746,-43.681986,"1477",Garmim,"3","9", , , , ,
"2133","2134",017771.07014.31.10004,Caverna Apolo-82, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.028651,-43.682066,"1467",Garmim,"4","7", , , , ,
"2134","2135",017772.07015.31.10004,Caverna Apolo-83, ,MG,Caeté,Área da Vale - Entorno do PARNA da Serra do Gandarela,-20.028594,-43.682012,"1469",Garmim,"3","7", , , , ,
"2135","2136",017773.06485.31.09006,Caverna RM-50, ,MG,Brumadinho,Parque Estadual do Rola Moça,-20.070801,-43.994222,"1427",Garmim,"3","11", , , , ,
"2136","2137",017774.07634.31.06200,Caverna RM-44, ,MG,Belo Horizonte,Parque Estadual da Serra do Rola Moça,-20.056213,-44.003221,"1477",Garmim,"5","8", , , , ,
"2137","2138",017775.07635.31.06200,Caverna RM-45, ,MG,Belo Horizonte,Parque Estadual da Serra do Rola Moça,-20.05636,-44.003175,"1478",Garmim,"5","8", , , , ,
"2138","2139",017776.07636.31.06200,Caverna RM-46, ,MG,Belo Horizonte,Parque Estadual da Serra do Rola Moça,-20.056185,-44.002973,"1469",Garmim,"5","8", , , , ,
"2139","2140",017777.07637.31.06200,Caverna RM-47, ,MG,Belo Horizonte,Parque Estadual da Serra do Rola Moça,-20.05632,-44.006873,"1461",Garmim,"6","8", , , , ,
"2140","2141",017778.07638.31.06200,Caverna RM-48, ,MG,Belo Horizonte,Parque Estadual da Serra do Rola Moça,-20.056352,-44.007059,"1458",Garmim,"6","8", , , , ,
"2141","2142",017780.06778.31.07307,Lapa do Morro Redondo, ,MG,Bocaiúva,Parque Nacional das Sempre Vivas,-17.886936,-43.798742,"1245",Garmin GPSMap 64sx,"4","14", , , , ,
"2142","2143",017781.06779.31.07307,Lapa do Cassimiro I, ,MG,Bocaiúva,Parque Nacional das Sempre Vivas,-17.801361,-43.77706,"1",Garmim,"6","9", , , , ,
"2143","2144",017782.06780.31.07307,Lapa do Cassimiro II, ,MG,Bocaiúva,Parque Nacional das Sempre Vivas,-17.801688,-43.777037,"1",Garmim,"5","8", , , , ,
"2144","2145",017783.06781.31.07307,Lapa do Cassimiro III, ,MG,Bocaiúva,Parque Nacional das Sempre Vivas,-17.801241,-43.777629,"1",Garmim,"5","9", , , , ,
"2145","2146",017823.07637.31.21605,Gruta do Salitre, ,MG,Diamantina,Curralinho,-18.279555,-43.535989,"1",Garmim,"10","8", , , , ,
"2146","2147",017826.07640.31.21605,Lapa da Santa de Pedra, ,MG,Diamantina,PARNA Sempre Vivas,-17.95842,-43.78407,"1229",Garmin 64st,"4","16","Actinolita xisto, Anfibolito, Metabasitos, Quartzito", , , ,
"2147","2148",017827.07641.31.21605,Lapa do Sanduruta, ,MG,Diamantina,PARNA Sempre Vivas,-17.967433,-43.783075,"1266",Garmin GPSMAP 64sx,"5","11","Actinolita xisto, Anfibolito, Metabasitos, Quartzito", , , ,
"2148","2149",017832.05625.31.16506,Abrigo dos Bichos, ,MG,Claro dos Poções,Sem informação,-16.930734,-44.142636,"730",Garmim,"4","9", , , , ,
"2149","2150",017839.06771.31.31901,CAP2_0014, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.148689,-43.656576,"1467",Garmim,"5","9", , , , ,
"2150","2151",017840.06772.31.31901,CAP2_0015, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.148626,-43.656614,"1469",Garmim,"4","8", , , , ,
"2151","2152",017841.06773.31.31901,CAP2_0019, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.14808,-43.655829,"1480",Garmim,"4","7", , , , ,
"2152","2153",017842.06774.31.31901,CAP2_0020, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.148837,-43.656129,"1466",Sem Informação,"4","8", , , , ,
"2153","2154",017843.06775.31.31901,CAP2_0022, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.14804,-43.656826,"1472",Garmim,"4","10", , , , ,
"2154","2155",017844.06776.31.31901,CAP2_0023, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.148343,-43.656237,"1457",Garmim,"4","8", , , , ,
"2155","2156",017845.06777.31.31901,CAP2_0028, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.148407,-43.655956,"1470",Garmim,"6","7", , , , ,
"2156","2157",017846.06778.31.31901,CAP2_0053, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.148369,-43.655789,"1467",Garmim,"5","9", , , , ,
"2157","2158",017847.06779.31.31901,CAP2_0054, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.148303,-43.655685,"1464",Garmim,"6","8", , , , ,
"2158","2159",017848.06780.31.31901,CAP2_0055, ,MG,Itabirito,Parque Nacional da Serra do Gandarela,-20.14803,-43.655856,"1475",Garmim,"4","8", , , , ,
